Denominacion;Codigo
Ciudad de Buenos Aires – Capital Federal;01
Provincia de Buenos Aires;02
Provincia de Catamarca;03
Provincia de Córdoba;04
Provincia de Corrientes;05
Provincia de Chaco;06
Provincia de Chubut;07
Provincia de Entre Ríos;08
Provincia de Formosa;09
Provincia de Jujuy;10
Provincia de La Pampa;11
Provincia de La Rioja;12
Provincia de Mendoza;13
Provincia de Misiones;14
Provincia de Neuquén;15
Provincia de Río Negro;16
Provincia de Salta;17
Provincia de San Juan;18
Provincia de San Luis;19
Provincia de Santa Cruz;20
Provincia de Santa Fe;21
Provincia de Santiago del Estero;22
Provincia de Tierra del Fuego;23
Provincia de Tucumán;24
